Cities,Lat,Lon
"New York, NY",40.72992843,-73.98853673
"Los Angeles, CA",34.0536909,-118.242766
"Houston, TX",29.7589382,-95.3676974
"Chicago, IL",41.8755616,-87.6244212
"San Antonio, TX",29.4246002,-98.4951405
"Philadelphia, PA",39.9527237,-75.1635262
"Phoenix, AZ",33.4484367,-112.074141
"Las Vegas, NV",36.1672559,-115.148516
"San Diego, CA",32.7174202,-117.162772
"Dallas, TX",32.7762719,-96.7968559
"Austin, TX",30.2711286,-97.7436995
"San Jose, CA",37.3361663,-121.890591
"Jacksonville, FL",30.3321838,-81.655651
"Charlotte, NC",35.2272086,-80.8430827
"Indianapolis, IN",39.7683331,-86.1583502
"Fort Worth, TX",32.753177,-97.3327459
"Orlando, FL",28.5421109,-81.3790304
"San Francisco, CA",37.7792588,-122.4193286
"Tucson, AZ",32.2228765,-110.974847
"Columbus, OH",39.9622601,-83.0007065
"Miami, FL",25.7741728,-80.19362
"Louisville, KY",38.2542376,-85.759407
"El Paso, TX",31.7601164,-106.4870404
"Denver, CO",39.7392364,-104.984862
"Seattle, WA",47.6038321,-122.330062
"Portland, OR",45.5202471,-122.674194
"Nashville, TN",36.1622767,-86.7742984
"Washington, DC",38.8950368,-77.0365427
"Sacramento, CA",38.5810606,-121.493895
"Boston, MA",42.3554334,-71.060511
"Detroit, MI",42.3315509,-83.0466403
"Pittsburgh, PA",40.4416941,-79.9900861
"Albuquerque, NM",35.0841034,-106.650985
"Memphis, TN",35.1460249,-90.0517638
"Fresno, CA",36.7394421,-119.78483
"Baltimore, MD",39.2908816,-76.610759
"Omaha, NE",41.2587459,-95.9383758
"Atlanta, GA",33.75649027,-84.39043393
"Milwaukee, WI",43.0386475,-87.9090751
"Oklahoma City, OK",35.4729886,-97.5170536
"Raleigh, NC",35.7803977,-78.6390989
"Mesa, AZ",33.4151005,-111.831455
"Colorado Springs, CO",38.8339578,-104.825348
"Buffalo, NY",42.8867166,-78.8783922
"Kansas City, MO",39.100105,-94.5781416
"Rochester, NY",43.157285,-77.615214
"Cincinnati, OH",39.1014537,-84.5124602
"Long Beach, CA",33.7690164,-118.191604
"Virginia Beach, VA",36.8529841,-75.9774183
"Bakersfield, CA",35.3738712,-119.019463
"Tampa, FL",27.9477595,-82.458444
"Oakland, CA",37.8044557,-122.271356
"Tulsa, OK",36.1563122,-95.9927516
"Minneapolis, MN",44.9772995,-93.2654692
"Aurora, CO",39.7405111,-104.830994
"Spring, TX",30.0795707,-95.4187924
"Honolulu, HI",21.304547,-157.855676
"Knoxville, TN",35.9603948,-83.9210261
"Arlington, TX",32.7355816,-97.1071186
"Baton Rouge, LA",30.4494155,-91.1869659
"New Orleans, LA",29.9759983,-90.0782127
"Wichita, KS",37.6922361,-97.3375448
"Cleveland, OH",41.4996574,-81.6936772
"Riverside, CA",33.7219991,-116.0372472
"Anaheim, CA",33.8347516,-117.911732
"Vancouver, WA",45.6306954,-122.6744557
"Stockton, CA",37.9577016,-121.290779
"Marietta, GA",33.9528472,-84.5496148
"Columbia, SC",34.0003117,-81.0331309
"Greensboro, NC",36.0726355,-79.7919754
"Fort Wayne, IN",41.0799898,-85.1386015
"Lexington, KY",38.0464066,-84.4970393
"Naples, FL",26.1421976,-81.7942944
"Henderson, NV",36.0301134,-114.9826194
"Corpus Christi, TX",27.7635302,-97.4033191
"Saint Louis, MO",38.6280278,-90.1910154
