Dates,Infl,Running Rate
01/31/15,0.2,0.998
02/28/15,0.3,0.995006
03/31/15,0.4,0.991025976
04/30/15,0.3,0.988052898
05/31/15,0.1,0.987064845
06/30/15,0.1,0.98607778
07/31/15,0,0.98607778
08/31/15,0.1,0.985091703
09/30/15,0.3,0.982136427
10/31/15,0.3,0.979190018
11/30/15,0,0.979190018
12/31/15,-0.1,0.980169208
01/31/16,0.3,0.977228701
02/29/16,0.5,0.972342557
03/31/16,0.3,0.969425529
04/30/16,0.3,0.966517253
05/31/16,0.2,0.964584218
06/30/16,0.1,0.963619634
07/31/16,0,0.963619634
08/31/16,0.2,0.961692395
09/30/16,0.2,0.95976901
10/31/16,0.2,0.957849472
11/30/16,0,0.957849472
12/31/16,0,0.957849472
01/31/17,0.4,0.954018074
02/28/17,0.4,0.950202002
03/31/17,0.1,0.9492518
04/30/17,0.1,0.948302548
05/31/17,0.1,0.947354245
06/30/17,0.1,0.946406891
07/31/17,0,0.946406891
08/31/17,0.2,0.944514077
09/30/17,0.2,0.942625049
10/31/17,0.3,0.939797174
11/30/17,-0.1,0.940736971
12/31/17,0,0.940736971
01/31/18,0.4,0.936974023
02/28/18,0.4,0.933226127
03/31/18,0.3,0.930426449
04/30/18,0.2,0.928565596
05/31/18,0.2,0.926708465
06/30/18,0.1,0.925781756
07/31/18,0.1,0.924855975
08/31/18,0.1,0.923931119
09/30/18,0.2,0.922083256
10/31/18,0.2,0.92023909
11/30/18,0,0.92023909
12/31/18,0,0.92023909
01/31/19,0.4,0.916558134
02/28/19,0.4,0.912891901
03/31/19,0.3,0.910153225
04/30/19,0.2,0.908332919
05/31/19,0.1,0.907424586
06/30/19,0.2,0.905609737
07/31/19,0.1,0.904704127
08/31/19,0.2,0.902894719
09/30/19,0.1,0.901991824
10/31/19,0.2,0.90018784
11/30/19,0,0.90018784
12/31/19,-0.1,0.901088028
01/31/20,0.4,0.897483676
02/29/20,0.5,0.892996258
03/31/20,0,0.892996258
04/30/20,-0.5,0.897461239
05/31/20,-0.1,0.8983587
06/30/20,0.2,0.896561983
07/31/20,0.5,0.892079173
08/31/20,0.4,0.888510856
09/30/20,0.1,0.887622345
10/31/20,0.1,0.886734723
11/30/20,0.1,0.885847988
12/31/20,-0.1,0.886733836
01/31/21,0.2,0.884960369
02/28/21,0.3,0.882305488
03/31/21,0.4,0.878776266
04/30/21,0.8,0.871746055
05/31/21,0.7,0.865643833
06/30/21,0.8,0.858718682
07/31/21,0.3,0.856142526
08/31/21,0.1,0.855286384
09/30/21,0.1,0.854431097
10/31/21,0.6,0.849304511
11/30/21,0.4,0.845907293
12/31/21,0.4,0.842523664
01/31/22,0.7,0.836625998
02/28/22,0.7,0.830769616
03/31/22,0.4,0.827446538
04/30/22,0.5,0.823309305
05/31/22,0.6,0.818369449
06/30/22,0.7,0.812640863
07/31/22,0.3,0.81020294
08/31/22,0.5,0.806151926
09/30/22,0.4,0.802927318
10/31/22,0.3,0.800518536
11/30/22,0.1,0.799718017
12/31/22,0.2,0.798118581
01/31/23,0.6,0.79332987
02/28/23,0.7,0.787776561
03/31/23,0.5,0.783837678
04/30/23,0.5,0.77991849
05/31/23,0.4,0.776798816
06/30/23,0.3,0.774468419
07/31/23,0.2,0.772919482
08/31/23,0.2,0.771373643
09/30/23,0.2,0.769830896
10/31/23,0.2,0.768291234
11/30/23,0.1,0.767522943
12/31/23,0.1,0.76675542
01/31/24,0.6,0.762154888
02/29/24,0.6,0.757581958
03/31/24,0.5,0.753794048
04/30/24,0.3,0.751532666
